"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"2709","611",65,"4","2","2","1","2","0","1","2","2","2",20,0,"10","1","1","1","2","3","3","3","3","3","16","22","2",45000,45,"1","3","1","706","999","7","0","1","7870","61","1970","3","1","2","2545","4",45000,47000,"207","2","600","1","2","1","6","4000","5","1","0","1","0","0","1","2","4",0
"2710","703",76,"1","0","0","0","0","0","1","2","1","2",0,0,"0","2","1","1","2","1","3","3","3","1","0","21","2",0,0,"0","0","4","999","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,24000,"36","1","0","1","1","2","1","1000","1","0","0","1","0","1","2","2","1",0
"2711","704",57,"1","0","3","0","0","0","1","2","2","2",6,1,"1","2","1","2","2","1","3","3","3","1","0","22","2",89000,40,"1","0","2","22","5","0","1","1","7860","43","9999","0","1","1","2330","4",89000,89000,"29","2","700","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"2712","506",108,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","20","1",0,0,"2","0","2","425","26","0","0","6","9920","0","9999","0","1","1","9920","0",0,42400,"25","1","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2714","1103",73,"4","2","0","1","0","0","2","2","2","1",0,0,"0","1","3","1","2","3","3","3","3","1","0","1","1",0,0,"0","3","4","999","999","6","0","6","9920","0","1210","3","4","2","9920","0",0,2820,"408","1","0","2","1","4","9","9000","38","0","1","2","1","0","0","0","6",0
"2715","612",48,"4","2","1","1","0","0","1","2","2","2",15,1,"1","1","4","2","2","1","3","3","3","1","0","23","1",90000,50,"1","3","1","940","999","6","1","1","7380","73","2850","0","5","2","20","0",90000,90000,"229","1","600","1","2","3","6","4018","10","1","0","1","0","0","1","2","4",0
"2716","1002",102,"5","0","6","2","0","0","2","2","2","1",0,0,"0","1","1","1","2","1","2","2","2","1","0","16","1",0,30,"2","3","1","84","999","7","0","6","770","0","1210","0","1","2","6220","0",25000,25000,"300","1","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","7",0
"2717","706",51,"1","0","1","0","0","2","1","1","2","2",60,1,"1","2","1","1","2","1","3","3","3","1","0","22","2",90000,40,"1","0","2","22","32","0","1","1","8191","43","9999","0","1","1","750","4",90000,90000,"25","2","600","1","2","4","1","1000","1","0","0","1","0","1","2","1","1",0
"2718","401",14,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","24","1",0,0,"2","0","4","999","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,4900,"25","1","0","2","1","3","1","1000","1","0","0","1","0","1","1","2","1",0
"2719","501",64,"1","0","2","0","0","0","1","2","2","2",45,2,"1","2","1","1","2","1","3","3","3","1","0","20","1",40000,40,"1","0","1","51","999","0","2","1","7860","37","9999","0","1","1","230","0",40000,40000,"25","2","600","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
