"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"2631","608",64,"1","0","1","0","0","0","1","2","2","2",10,1,"1","2","1","1","2","1","3","3","3","1","0","21","1",105000,40,"1","0","1","706","999","0","1","1","7380","55","9999","0","1","1","1006","0",105000,105000,"25","1","600","1","2","2","6","4000","5","1","0","1","0","0","2","2","1",0
"2632","1301",103,"1","0","6","0","0","0","1","2","2","2",15,1,"1","2","5","0","0","1","3","3","3","1","0","23","2",75000,40,"1","0","2","50","142","0","1","1","7270","85","9999","0","6","1","2100","4",140000,140000,"36","2","1290","1","2","4","1","1000","1","0","0","1","0","1","2","2","1",0
"2633","705",142,"1","0","1","0","0","0","1","2","2","2",5,1,"1","2","5","0","0","3","3","3","3","1","0","21","1",60000,40,"1","0","1","335","999","0","1","1","7080","43","9999","3","6","1","4700","0",60000,60000,"25","1","700","1","2","4","2","3000","2","0","1","1","0","0","1","2","1",0
"2635","806",140,"1","0","1","0","0","0","1","2","2","2",60,1,"1","2","5","0","0","1","3","3","3","1","0","16","1",45000,40,"0","0","4","999","999","0","1","1","6671","37","9999","0","6","1","9620","0",45000,45000,"36","1","600","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2636","1001",95,"1","0","1","0","0","0","1","2","2","2",20,1,"1","2","5","0","0","1","3","3","3","1","0","20","1",65000,40,"1","0","1","26","999","0","1","1","5392","49","9999","0","6","1","4760","0",65000,65000,"44","1","1000","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"2637","806",107,"4","2","1","1","2","0","1","2","2","2",60,1,"1","1","5","0","0","1","3","3","3","2","15","21","2",72000,40,"1","3","1","234","999","7","1","1","8660","55","1200","0","6","2","4110","4",72000,72000,"364","2","600","1","2","2","8","8000","15","0","0","1","1","0","1","2","3",0
"2638","501",85,"1","0","1","0","2","0","2","2","2","2",5,2,"1","2","4","1","2","1","3","3","3","1","0","19","2",1400,20,"1","0","2","26","88","0","2","1","170","67","9999","0","5","1","9630","4",1400,17000,"25","1","500","2","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2639","608",33,"1","0","1","0","0","0","1","2","2","2",30,1,"1","2","5","0","0","1","3","3","3","2","15","20","1",55000,40,"1","0","2","51","22","0","1","1","6881","49","9999","0","6","1","5160","0",55000,55000,"25","2","600","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2640","611",52,"1","0","0","0","0","0","1","2","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","21","2",0,0,"2","0","4","999","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,111200,"4","2","0","1","1","3","1","1000","1","0","0","1","0","1","1","2","1",1
"2642","1104",135,"1","0","3","0","0","0","1","2","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","22","2",0,0,"2","0","1","50","999","0","0","6","7860","0","9999","0","1","1","2320","4",0,46000,"25","2","0","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"2645","804",126,"4","2","0","3","0","0","2","2","1","1",0,0,"0","1","3","1","2","1","2","2","2","1","0","16","2",0,0,"2","3","1","226","999","7","0","6","9920","0","1200","0","4","2","9920","4",0,11200,"312","1","0","2","1","3","8","8000","15","0","0","1","1","0","0","0","3",1
"2646","201",20,"1","0","1","0","0","0","2","2","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","20","2",0,0,"2","0","2","142","32","0","0","6","8180","0","9999","0","1","1","3255","4",0,23800,"17","1","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2647","901",28,"5","0","1","2","2","2","2","1","2","2",0,0,"0","1","5","0","0","1","3","3","3","3","15","19","2",2100,13,"0","3","1","706","999","8","0","6","8470","0","2000","0","6","2","4622","0",2100,2100,"207","0","0","1","2","2","6","4000","5","1","0","1","0","0","0","0","4",0
"2648","1301",77,"1","0","1","0","0","0","1","2","2","2",15,1,"1","2","1","1","2","1","3","3","3","1","0","16","2",45000,40,"1","0","1","50","999","0","1","1","770","51","9999","0","1","1","5740","4",45000,45000,"25","1","1290","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2649","702",90,"5","0","0","3","0","0","1","2","2","2",0,0,"0","1","1","1","2","2","2","2","2","1","0","21","1",0,0,"2","3","1","144","999","8","0","6","9920","0","1220","3","1","2","9920","0",0,0,"132","2","0","1","2","2","1","1000","1","0","0","1","0","1","1","2","5",0
"2650","100",41,"1","0","0","0","0","0","1","2","2","2",0,0,"0","2","5","0","0","3","0","0","0","2","12","12","1",0,0,"0","0","2","50","22","0","0","0","9920","0","9999","3","6","1","9920","0",0,0,"36","1","0","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2651","401",56,"1","0","3","0","1","0","1","2","2","2",20,1,"1","2","5","0","0","1","3","3","3","1","0","22","2",95000,45,"1","0","2","425","924","0","1","1","7860","43","9999","0","6","1","230","4",1e+05,1e+05,"25","2","400","1","2","3","1","1000","1","0","0","1","0","1","2","2","1",0
"2652","609",98,"1","0","1","0","0","0","2","2","2","1",5,1,"1","2","1","1","2","1","3","3","3","1","0","18","1",34000,24,"0","0","4","999","999","0","1","1","8080","19","9999","0","2","1","3255","0",34000,34000,"42","2","600","2","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2653","1301",58,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","2","2","2","1","2","2","2","1","0","22","1",0,0,"2","0","1","939","999","0","0","6","9920","0","9999","0","3","1","9920","0",0,31600,"9","1","0","1","1","1","1","1000","1","0","0","1","0","1","1","2","1",0
"2654","706",159,"4","2","4","1","2","0","1","2","2","2",5,1,"1","1","2","1","2","1","3","3","3","1","0","22","2",62000,38,"1","3","1","706","999","7","1","1","7870","55","2000","0","3","2","230","2",62000,69000,"207","1","700","1","2","3","6","4000","5","1","0","1","0","0","2","2","4",0
"2656","1001",95,"1","0","1","0","2","0","1","2","2","2",15,1,"1","2","5","0","0","1","3","3","3","1","0","21","2",35000,40,"1","0","4","999","999","0","1","1","4796","49","9999","0","6","1","5000","4",35000,35000,"23","1","900","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"2657","801",91,"1","0","1","0","0","2","2","1","2","2",0,0,"0","2","5","0","0","3","3","3","3","3","15","19","1",1000,14,"0","0","4","999","999","0","0","6","7870","0","9999","3","6","1","1555","0",1000,1000,"25","1","0","1","2","2","6","4003","8","1","0","1","0","0","0","0","1",0
"2658","607",50,"1","0","2","0","0","0","1","2","2","2",35,0,"3","2","1","1","2","1","3","3","3","1","0","22","1",101000,40,"1","0","2","22","32","0","0","1","7870","46","9999","0","1","1","726","0",107000,107000,"34","1","800","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"2659","902",51,"1","0","0","0","0","0","1","2","1","2",0,0,"0","2","5","0","0","1","2","2","2","1","0","13","2",0,0,"2","0","1","902","999","0","0","6","9920","0","9999","0","6","1","9920","4",0,28300,"25","1","0","1","1","1","2","3000","2","0","1","1","0","0","0","0","1",0
"2660","1002",98,"1","0","1","1","0","0","1","2","2","2",30,1,"1","1","1","1","2","1","3","3","3","1","0","16","1",45000,40,"1","0","1","84","999","0","1","1","5171","31","1210","0","1","1","4700","0",45000,45000,"25","1","1000","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2662","100",55,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","3","1","2","1","3","3","3","1","0","16","1",0,0,"0","0","1","939","999","0","0","6","9920","0","9999","0","4","1","9920","0",0,29600,"25","0","0","2","1","2","1","1000","1","0","0","1","0","1","0","0","1",1
"2663","608",93,"1","0","5","0","0","0","2","2","1","2",0,0,"0","2","2","2","2","2","2","2","1","1","0","24","1",0,0,"2","0","1","11","999","0","0","3","7870","0","9999","3","3","1","2205","0",0,8000,"42","1","0","2","1","1","1","1000","1","0","0","1","0","1","2","2","1",0
"2665","403",49,"1","0","0","0","0","0","1","2","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","18","1",0,0,"2","0","2","89","22","0","0","6","9920","0","9999","0","1","1","9920","0",0,14600,"36","1","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","1",1
"2666","1101",79,"1","0","1","0","0","0","2","2","2","1",30,1,"1","2","5","0","0","1","3","3","3","2","13","14","1",9600,40,"1","0","2","94","98","0","1","1","770","37","9999","0","6","1","6355","0",9600,9600,"25","1","1100","2","1","2","9","9000","62","0","1","3","1","1","0","0","1",0
"2667","1102",60,"1","0","2","1","2","0","1","2","2","2",0,0,"11","1","1","1","2","1","3","3","3","1","0","20","2",41000,40,"1","0","4","999","999","0","0","1","8191","0","1288","0","1","1","350","2",41000,41000,"25","1","1100","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2668","601",50,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","2","1","2","1","2","2","2","1","0","21","2",0,0,"2","0","2","22","50","0","0","6","9920","0","9999","0","3","1","9920","4",0,37500,"33","1","0","2","1","1","1","1000","1","0","0","1","0","1","2","2","1",1
"2670","1003",48,"1","0","1","0","0","2","2","1","2","1",15,1,"1","2","3","2","2","3","3","3","3","1","0","20","2",130000,42,"1","0","1","84","999","0","1","1","770","52","9999","3","4","1","5000","2",130000,151600,"25","2","1000","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2672","605",52,"4","2","1","2","2","0","1","2","2","2",10,1,"1","1","1","1","2","1","3","3","3","1","0","16","2",40000,37,"1","3","1","222","999","7","1","1","4971","17","1200","0","1","2","4055","2",40000,40000,"313","1","600","1","2","2","9","9000","29","0","0","2","1","1","0","0","3",0
"2673","612",56,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","3","2","2","1","2","2","2","1","0","19","1",0,0,"2","0","1","195","999","0","0","6","9920","0","9999","0","4","1","9920","0",0,61000,"25","2","0","2","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2674","201",102,"1","0","3","0","0","0","2","2","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","18","2",0,0,"2","0","2","46","22","0","0","6","7860","0","9999","0","1","1","2555","4",0,19000,"25","1","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2676","906",18,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","5","0","0","1","2","2","2","1","0","1","1",0,0,"2","0","3","996","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,11800,"25","1","0","2","1","3","2","3000","2","0","1","1","0","0","0","0","1",1
"2677","803",106,"3","0","1","3","0","0","1","2","2","2",55,2,"1","1","1","1","2","1","3","3","3","1","0","17","1",65000,40,"1","3","1","785","999","6","2","1","8191","43","1960","0","1","1","5120","0",65000,65000,"247","2","800","1","2","2","6","4014","9","1","0","1","0","0","0","0","4",0
"2678","802",69,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","3","2","2","1","2","2","2","1","0","16","2",0,0,"2","0","1","51","999","0","0","6","9920","0","9999","0","4","1","9920","4",0,28500,"25","1","0","2","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2679","608",85,"4","2","6","0","0","0","1","2","2","2",60,0,"4","2","3","1","2","1","3","3","3","1","0","21","2",0,20,"1","3","4","999","999","3","0","1","8563","55","9999","0","4","2","5740","4",28200,28200,"301","2","600","1","2","2","1","1000","1","0","0","1","0","1","2","2","7",0
"2680","201",21,"1","0","1","0","2","0","1","2","2","1",12,1,"1","2","1","1","2","1","3","3","3","1","0","21","2",65000,32,"0","0","4","999","999","0","1","1","7970","67","9999","0","1","1","2014","1",65000,65000,"25","1","290","1","1","2","1","1000","1","0","0","1","0","1","1","2","1",0
"2681","801",34,"3","0","3","0","2","0","2","2","2","2",0,0,"0","2","1","1","2","1","3","3","3","3","16","22","2",0,0,"0","3","4","999","999","6","0","6","7860","0","9999","0","1","1","3603","4",0,0,"210","1","0","2","2","4","6","4000","5","1","0","1","0","0","1","2","4",0
"2682","611",13,"1","0","0","0","2","2","2","1","2","2",0,0,"0","2","5","0","0","3","3","3","3","3","15","19","2",0,0,"0","0","4","999","999","0","0","6","9920","0","9999","3","6","1","9920","0",0,0,"25","0","0","1","2","4","6","4025","10","1","0","1","0","0","0","0","1",0
"2683","402",32,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","5","0","0","1","2","2","2","1","0","17","2",0,0,"2","0","1","939","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,0,"25","1","0","2","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2684","901",62,"1","0","1","0","2","0","1","2","2","2",0,0,"0","2","5","0","0","1","2","2","2","2","13","13","2",3000,5,"2","0","2","22","51","0","0","6","8590","0","9999","0","6","1","4435","4",3000,3000,"25","2","0","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2685","1104",85,"1","0","9","0","0","2","2","1","2","2",0,0,"0","2","3","1","2","1","3","3","3","2","15","20","1",0,0,"0","0","4","999","999","0","0","3","9920","0","9999","0","4","1","9920","0",0,0,"25","1","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2686","403",87,"1","0","2","0","0","0","2","2","2","2",0,0,"0","2","1","1","2","1","3","1","1","1","0","20","2",65000,50,"2","0","4","999","999","0","0","3","8180","0","9999","0","1","1","350","4",65000,115000,"25","2","0","2","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"2688","1001",95,"1","0","1","0","0","0","1","2","2","2",0,0,"11","2","1","2","2","1","3","3","3","1","0","21","2",24000,30,"1","0","1","50","999","0","0","1","7380","0","9999","0","1","1","440","4",24000,31200,"25","1","1000","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"2689","301",57,"1","0","1","0","0","0","1","2","2","2",55,2,"1","2","1","1","2","1","3","3","3","1","0","21","2",90000,35,"1","0","2","22","425","0","2","1","6481","46","9999","0","1","1","2830","4",105000,105000,"9","2","100","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"2690","803",61,"1","0","0","0","0","2","2","1","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","17","1",0,0,"2","0","1","939","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,0,"25","1","0","1","2","3","8","8000","15","0","0","1","1","0","0","0","1",0
"2691","806",31,"1","0","2","0","0","0","1","2","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","16","2",0,0,"2","0","1","89","999","0","0","6","8170","0","9999","0","1","1","3601","4",0,0,"25","1","0","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",1
"2692","1301",80,"4","2","0","0","0","0","2","2","1","2",0,0,"0","2","5","0","0","1","3","3","3","1","0","22","1",0,0,"0","3","4","999","999","2","0","6","9920","0","9999","0","6","2","9920","0",0,52000,"139","1","0","2","1","4","1","1000","1","0","0","1","0","1","1","2","5",0
"2693","401",13,"1","0","1","0","2","2","2","1","2","2",30,1,"1","2","3","1","2","1","3","3","3","1","0","20","2",80000,40,"1","0","4","999","999","0","1","1","8290","34","9999","0","4","1","3255","4",80000,85000,"25","2","400","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",1
"2695","901",104,"1","0","0","0","2","0","1","2","2","2",0,0,"0","2","5","0","0","1","0","0","0","2","12","12","2",0,0,"0","0","3","996","999","0","0","0","9920","0","9999","0","6","1","9920","0",0,0,"25","2","0","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
