"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"1873","P","1",3,"703","1","25","1019518",40,"1","2","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","22","0","2","0","0",69000,40,"52","1","2","50","26","1","1","1","7860","6","1","0","2310",69000,69000,"33",501,"700","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1874","P","1",2,"706","1","25","1019518",28,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","2","2",2003,"1","4","2","5","2","2","3","0","0","7000","1","18","0","2","0","22000",0,40,"52","2","1","51","999","6","1","1","3390","1","1","0","565",0,29000,"25",411,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1875","P","1",1,"806","1","25","1019518",66,"1","1","2","2","1","1","1","1","2","2","2","0","1","2","1","2","2","1","2",1973,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","24200",0,40,"52","2","1","50","999","6","1","1","7860","1","1","0","3255",0,24200,"25",501,"600","25","1","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1876","P","1",1,"703","1","25","1019518",91,"1","2","2","2","1","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1976,"1","4","3","5","3","3","3","0","0","0","1","20","0","2","0","0",35000,38,"52","1","2","22","26","1","1","1","8470","1","1","0","2300",35000,35000,"36",410,"700","25","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1878","P","1",1,"901","1","25","1019518",64,"1","2","2","0","2","2","1","2","2","2","2","0","1","2","3","2","2","2","2",1980,"1","4","2","2","2","2","3","85000","0","0","1","24","0","2","0","24000",0,40,"52","2","2","50","22","6","1","1","8191","4","1","0","3300",0,109000,"24",501,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1879","P","1",1,"1004","1","25","1019518",67,"1","2","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","20","0","2","0","0",56000,40,"52","1","2","22","50","1","1","1","8370","6","1","0","2012",56000,56000,"25",233,"1000","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1880","P","1",2,"201","1","25","1019518",46,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","10300","1","1","0","2","15600","9000",0,40,"52","2","2","51","26","6","1","1","7860","6","1","0","3255",0,34900,"12",225,"600","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"1881","P","1",1,"706","1","25","1019518",67,"1","1","2","0","1","2","2","2","2","2","2","0","11","2","1","2","2","1","2",2020,"3","4","3","5","3","3","3","0","0","0","1","21","0","2","0","0",90000,40,"52","1","1","50","999","1","1","1","6695","1","1","0","440",90000,90000,"25",501,"700","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1884","P","1",2,"702","1","25","1019518",49,"1","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","1","18","0","2","0","12000",0,40,"52","2","2","50","97","6","1","1","7860","6","1","0","3255",0,12000,"25",76,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1885","P","1",2,"706","1","25","1019518",81,"4","1","2","0","1","2","2","2","2","2","2","0","1","1","1","2","2","1","2",1995,"1","4","3","5","3","3","3","0","0","0","1","20","0","2","0","0",60000,40,"52","1","1","171","999","1","1","1","8191","1","2","0","3300",60000,60000,"164",501,"700","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","5","No"
