"","X","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"25",29,704,175,1,0,1,2,2,1,2,1,5,1,4,2,1,2,1,0,2,13,2,0,0,1,261,999,3,6,1,0,25,1,1,3,8,8000,15,0,0,1,1,0,1,"0"
"26",30,1104,36,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,16,1,0,0,1,902,999,6,6,1,0,25,1,2,1,2,3000,2,0,1,1,0,0,1,"0"
"27",32,705,185,5,0,1,2,2,2,2,1,1,1,4,2,5,2,2,0,1,19,2,0,0,1,222,999,6,1,2,0,313,1,2,1,8,8000,15,0,0,1,1,0,3,"0"
"28",33,704,212,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,19,1,0,15000,4,999,999,1,6,1,15000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"29",34,1004,95,1,0,2,2,1,1,2,2,1,1,4,2,5,2,2,20000,1,16,1,2400,0,1,82,999,6,1,1,22400,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"30",35,503,162,5,0,2,2,2,1,2,1,1,1,4,3,5,3,3,0,1,16,2,0,0,1,360,999,1,1,2,770,362,2,1,4,9,9000,29,0,0,2,1,1,3,"0"
"31",36,301,205,1,0,1,2,1,1,2,2,5,3,4,3,5,3,3,0,2,19,1,0,12000,4,999,999,3,6,1,12000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"32",37,610,36,1,0,2,2,1,2,2,2,1,1,4,3,5,3,3,0,1,19,1,0,10000,2,51,32,1,1,1,10000,36,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"33",38,704,52,1,2,2,1,1,2,2,2,1,1,4,3,5,3,3,0,1,22,1,17000,0,4,999,999,6,1,1,18500,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"34",39,606,52,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,23,2,0,148000,1,490,999,1,1,1,148000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"35",40,507,99,1,0,1,2,2,2,2,2,2,1,4,3,5,3,3,0,1,20,2,0,90000,1,84,999,1,3,1,90000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"36",41,1103,148,1,0,1,2,1,1,2,2,2,1,4,2,5,2,2,0,1,20,1,0,0,1,51,999,6,3,1,0,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"37",42,504,73,5,0,2,2,1,1,2,1,1,1,4,3,5,3,3,0,1,23,2,0,0,4,999,999,6,2,2,0,427,2,1,3,2,3000,2,0,1,1,0,0,6,"0"
"38",43,1301,201,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,22,1,0,36000,4,999,999,1,6,1,41000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"39",44,604,16,1,0,2,2,1,1,2,2,2,3,4,3,5,3,3,8000,1,16,2,11900,0,3,996,999,6,3,1,19900,25,2,1,2,1,1000,1,0,0,1,0,1,1,"1"
"40",45,1004,58,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,20,2,0,30000,2,26,84,1,6,1,30000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"41",47,601,60,1,0,1,2,1,2,2,2,1,1,4,2,5,2,2,55000,1,21,2,0,0,2,142,50,6,1,1,55000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"42",49,1201,162,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,45000,1,87,999,1,1,1,45000,34,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
