"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"3529",611,31,5,2,2,1,2,2,2,0,1,5,2,4,2,5,2,2,0,3,16,2,0,0,1,100,999,6,6,2,0,100,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"3531",803,65,1,0,1,2,1,2,2,21600,2,2,1,4,2,5,2,2,0,1,20,2,21600,0,2,50,51,6,3,1,43200,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3532",507,102,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,3,0,1,16,2,0,42000,1,26,999,1,6,1,42000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3533",602,81,1,0,1,2,2,2,2,0,2,5,3,4,2,5,2,2,0,2,18,2,0,4500,1,190,999,1,6,1,4500,17,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3534",301,167,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,15900,1,16,2,1400,0,1,939,999,6,6,1,29400,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3535",901,52,1,0,1,2,2,2,2,40,2,1,3,4,3,5,3,3,0,1,21,1,0,106000,2,142,125,1,1,1,106040,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3536",1102,58,1,0,1,2,2,2,2,0,1,1,1,4,2,5,2,2,0,1,21,1,0,0,1,84,999,6,1,1,0,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3537",704,19,1,0,2,2,1,1,2,0,2,5,1,4,2,5,2,2,0,1,22,2,4700,0,4,999,999,6,6,1,4700,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3538",901,101,1,0,1,2,2,2,2,0,2,1,3,4,3,5,3,3,0,1,23,2,0,130000,1,50,999,1,1,1,130000,4,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3540",606,127,1,0,1,2,1,2,2,0,2,2,1,4,3,5,3,3,35000,1,21,2,2500,18000,1,50,999,1,3,1,55500,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3541",1002,85,5,0,2,2,2,1,2,0,1,1,2,4,2,5,2,2,0,1,16,2,0,0,1,360,999,6,1,2,0,362,2,1,3,8,8000,15,0,0,1,1,0,3,"0"
"3542",201,63,1,0,1,2,2,1,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,70000,4,999,999,1,1,1,70000,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3544",1104,70,1,2,2,1,1,2,2,20000,2,1,1,4,3,5,3,3,0,1,20,2,11000,0,4,999,999,6,1,1,31000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3545",806,72,5,2,2,1,2,1,2,0,2,1,1,4,1,5,2,3,0,1,1,2,0,0,1,234,999,6,1,2,0,364,1,1,3,8,8000,15,0,0,1,1,0,3,"0"
"3547",703,24,1,0,2,2,1,2,2,0,2,3,1,4,2,5,2,2,0,1,16,2,20600,0,3,996,999,6,4,1,20600,42,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"3548",805,80,5,0,1,2,2,2,2,0,2,1,3,4,3,5,3,3,0,1,22,2,0,76000,1,11,999,1,1,2,76000,138,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"3549",1002,46,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,3,0,1,16,2,0,88000,1,190,999,1,6,1,88000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3550",801,103,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,22,2,0,110000,2,50,22,1,6,1,110000,42,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3551",603,72,4,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,17,2,13400,0,4,999,999,6,1,2,13400,301,2,1,1,9,9000,16,0,1,2,0,1,7,"0"
"3552",1102,72,1,0,1,2,2,2,2,3100,2,1,1,4,3,5,3,3,0,1,21,2,0,47400,2,50,22,1,1,1,50500,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3553",706,115,1,0,2,2,2,1,2,0,2,5,1,4,2,5,2,2,0,1,18,1,0,0,2,88,32,6,6,1,0,6,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3554",1101,154,1,2,2,1,2,2,2,0,2,5,1,4,1,5,2,3,0,1,21,2,0,0,2,32,97,2,6,1,100000,9,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3555",612,35,4,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,2,0,110000,1,148,999,1,1,2,110000,163,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"3556",401,48,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,20,2,0,60000,4,999,999,1,1,1,60000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3557",803,94,4,0,2,2,2,2,2,0,1,5,1,4,3,5,3,3,0,1,21,1,0,45000,1,510,999,1,6,2,46500,408,2,2,1,9,9000,38,0,1,2,1,0,6,"0"
"3558",1103,116,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,24500,2,142,22,1,6,1,24500,12,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3559",704,110,4,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,100000,4,999,999,1,1,2,100000,224,1,2,1,1,1000,1,0,0,1,0,1,4,"0"
"3560",906,124,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,65000,2,32,50,1,6,1,65000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3562",801,19,5,0,1,2,2,2,2,0,1,5,3,4,2,3,2,2,0,3,21,1,0,40000,1,615,999,1,6,2,40000,210,1,2,2,6,4015,4,1,0,1,0,0,4,"0"
"3563",1102,32,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,80000,1,51,999,1,1,1,80000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3564",100,80,1,2,2,1,1,2,2,17000,2,1,1,4,2,5,2,2,8500,1,18,1,0,0,1,51,999,6,1,1,25500,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3565",1003,46,1,0,2,2,2,1,2,0,1,5,3,4,2,1,2,1,0,1,18,2,0,26000,2,261,84,3,6,1,26000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3566",607,105,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,48000,1,51,999,1,6,1,48000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3567",1201,6,1,0,2,2,2,1,2,0,2,5,3,4,3,5,3,3,0,2,19,2,0,40500,1,920,999,1,6,1,40500,25,2,1,1,3,5013,3,0,0,1,0,0,1,"0"
"3568",502,146,5,0,2,2,2,1,2,0,1,1,1,4,3,5,3,3,0,1,9,1,0,65000,1,222,999,1,1,2,100000,313,2,1,1,8,8000,15,0,0,1,1,0,3,"0"
"3569",100,73,1,0,2,2,1,1,2,0,2,5,1,4,3,5,3,3,0,1,22,2,24000,7000,1,89,999,1,6,1,53000,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3570",403,76,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,1,0,70000,2,26,142,1,1,1,70000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3571",802,50,1,0,1,2,2,2,2,0,2,1,1,4,2,5,2,2,0,1,22,2,0,0,1,924,999,6,1,1,0,6,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3573",603,83,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,18,2,0,60000,2,51,50,1,6,1,60000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3575",801,200,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,68000,2,3,46,1,1,1,68000,6,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3576",201,21,1,0,2,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,28000,4,999,999,1,6,1,48000,25,2,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3577",906,51,1,0,1,2,2,2,2,150,2,1,1,4,3,5,3,3,0,1,19,2,0,60000,1,939,999,1,1,1,60150,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3578",802,95,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,23,2,0,120000,1,142,999,1,1,1,120000,36,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3579",902,123,1,2,2,1,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,0,1,50,999,1,6,1,39000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3580",610,31,1,0,1,2,2,2,2,0,1,5,1,4,3,5,3,3,0,3,19,1,0,14000,1,222,999,1,6,1,14000,25,1,2,1,8,8000,15,0,0,1,1,0,1,"0"
"3581",613,58,1,0,2,2,1,2,2,860,2,1,1,4,3,5,3,3,0,1,23,2,33500,0,2,22,50,1,1,1,204360,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3582",601,31,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,1,0,100000,1,935,999,1,1,1,129000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3584",609,53,1,0,2,2,1,1,2,0,2,5,1,4,3,5,3,3,22800,1,19,2,24000,0,1,46,999,6,6,1,46800,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"3585",507,90,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,98000,2,22,50,1,6,1,98000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3586",401,65,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,85000,1,187,999,1,6,1,85000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3587",609,168,5,0,2,2,2,1,2,0,2,1,1,4,2,5,2,2,0,1,15,2,0,770,1,785,999,6,2,2,770,247,2,1,1,6,4014,9,1,0,1,0,0,4,"0"
"3588",613,72,4,0,1,2,2,2,2,0,1,1,1,4,2,5,2,2,0,1,22,2,0,0,1,221,999,6,1,2,0,311,1,2,3,9,9000,29,0,0,2,1,1,3,"0"
"3589",803,68,5,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,16,1,0,47000,4,999,999,1,1,2,47000,247,1,2,1,6,4014,9,1,0,1,0,0,4,"0"
"3590",605,96,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,90000,2,26,51,1,1,1,90000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3591",805,114,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,41000,2,87,97,1,1,1,41000,6,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3592",802,74,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,22,1,0,90000,4,999,999,1,6,1,90000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3593",1004,55,1,0,1,2,1,1,2,500,2,1,1,4,2,5,2,2,8900,1,19,2,14600,0,1,935,999,6,1,1,24000,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3594",602,98,1,0,1,2,2,2,2,0,1,5,1,4,3,5,3,3,0,2,19,2,0,0,4,999,999,6,6,1,12000,24,1,2,2,2,3000,2,0,1,1,0,0,1,"0"
"3595",1102,129,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,20,1,0,45000,4,999,999,1,1,1,45000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3596",806,75,5,2,2,1,2,2,2,0,1,1,1,4,3,5,3,3,0,1,2,2,0,30000,1,252,999,1,1,2,30000,312,1,2,4,8,8000,15,0,0,1,1,0,3,"0"
"3597",501,61,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,102000,2,50,51,1,1,1,102000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3598",802,41,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,85000,2,22,87,1,1,1,85000,13,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3599",1003,41,1,0,1,2,1,1,1,0,2,1,1,2,2,5,2,2,40000,1,16,1,24500,0,1,22,999,6,1,1,77300,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"3601",402,196,2,0,2,2,1,2,2,0,1,5,3,4,2,5,2,2,0,1,13,1,11200,0,1,261,999,6,6,1,11200,72,2,1,2,9,9000,29,0,0,2,1,1,2,"1"
"3602",701,53,1,2,2,1,1,2,2,40500,2,1,1,4,2,5,2,2,5300,1,16,1,19200,0,2,22,94,6,1,1,65000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"1"
"3603",611,19,1,0,1,2,2,2,2,100,2,5,1,4,3,5,3,3,0,3,16,2,0,6100,4,999,999,6,6,1,6200,39,1,2,3,2,3000,2,0,1,1,0,0,1,"0"
"3604",401,99,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,16,2,9600,0,1,50,999,6,1,1,9600,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3605",1102,169,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,2,0,35000,1,50,999,1,6,1,35000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3606",1003,106,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,140000,1,84,999,1,1,1,140000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3607",507,21,1,0,2,2,1,1,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,0,4,999,999,6,6,1,0,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"3608",603,64,1,0,1,2,2,2,2,3000,2,3,1,4,2,5,2,2,0,1,21,1,0,200000,1,94,999,1,4,1,203000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3609",904,65,4,2,2,1,2,2,2,0,1,1,3,4,2,1,2,2,0,1,17,2,0,0,1,795,999,1,1,2,30000,243,1,2,1,1,1000,1,0,0,1,0,1,4,"0"
"3610",507,84,1,0,1,2,1,2,2,0,2,5,1,4,2,5,3,2,0,1,23,2,24000,0,1,26,999,6,6,1,24000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3611",201,52,1,2,2,1,1,2,2,10,2,1,1,4,2,5,2,2,3600,1,19,2,18000,0,2,22,935,6,1,1,21610,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3612",201,19,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,22,2,28600,40,2,50,22,1,1,1,58640,26,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3613",201,17,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,1,0,90000,4,999,999,1,1,1,90000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3614",802,18,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,3,21,1,0,0,4,999,999,6,6,1,0,25,1,2,4,6,4015,4,1,0,1,0,0,1,"0"
"3615",601,34,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,2,0,40000,1,924,999,1,6,1,40000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3616",1201,190,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,2,20,1,0,30000,2,50,425,1,6,1,30000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3617",702,65,4,0,1,2,2,2,2,10000,1,1,3,4,2,3,2,2,0,1,22,2,0,50000,4,999,999,1,1,2,60000,207,1,2,2,6,4000,5,1,0,1,0,0,4,"0"
"3618",506,30,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,19,1,37000,77000,1,920,999,6,1,1,114000,25,2,1,1,9,9000,17,0,0,2,0,1,1,"0"
"3620",605,93,1,2,1,1,1,2,2,1000,2,1,3,4,3,5,3,3,60000,1,24,1,24000,50000,2,125,32,1,1,1,135000,39,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3621",613,53,4,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,24,1,30000,0,1,144,999,6,1,2,30000,132,1,1,2,1,1000,1,0,0,1,0,1,5,"0"
"3622",801,70,5,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,24,1,0,90000,1,32,999,1,6,2,90000,110,1,2,2,1,1000,1,0,0,1,0,1,5,"0"
"3623",402,29,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,38000,2,32,20,1,1,1,38000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3624",607,32,1,0,1,2,1,2,2,34000,2,5,1,4,2,5,2,2,38100,1,21,2,16300,0,2,51,50,6,6,1,88400,34,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3625",802,38,4,0,1,2,2,2,2,0,1,5,3,4,3,5,3,3,0,1,21,1,0,80000,1,419,999,1,6,2,80000,214,1,2,4,1,1000,1,0,0,1,0,1,4,"0"
"3626",505,94,4,0,1,2,2,2,2,0,1,1,1,4,2,5,2,2,0,1,19,2,0,0,1,275,999,6,1,2,0,329,1,2,4,9,9000,29,0,0,2,1,1,3,"0"
"3627",1101,44,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,16,2,6000,0,1,142,999,6,2,1,6000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"1"
"3628",613,82,4,0,1,2,2,2,2,0,2,1,1,4,3,5,3,2,0,1,23,2,0,90000,1,795,999,1,1,2,90000,210,1,2,2,6,4015,4,1,0,1,0,0,4,"0"
"3629",403,116,1,0,2,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,45000,2,142,51,1,6,1,45000,25,2,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3631",612,141,1,0,1,2,2,1,2,0,1,5,2,4,2,3,2,1,0,2,14,1,0,3000,2,50,26,6,6,1,3000,6,1,1,1,9,9000,21,1,0,2,0,1,1,"0"
"3632",607,67,5,0,1,2,2,2,2,0,1,5,3,4,3,5,3,3,0,2,21,2,0,8000,2,924,434,1,6,2,8000,243,1,2,4,1,1000,1,0,0,1,0,1,4,"0"
"3634",201,34,1,2,1,1,1,2,2,0,2,1,1,4,2,5,2,2,6200,1,16,2,14400,0,1,26,999,6,1,1,20600,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3635",402,35,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,45000,2,50,935,1,6,1,45000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3636",100,12,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,0,1,16,2,8300,0,1,939,999,6,1,1,8300,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3637",803,43,1,0,1,2,2,1,2,0,2,5,1,4,3,5,2,3,0,2,19,1,0,6000,1,360,999,1,6,1,6000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3638",301,25,4,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,2,18,2,0,4700,1,168,999,1,6,2,4700,218,1,2,3,6,4023,10,1,0,1,0,0,4,"0"
"3639",100,23,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,100000,1,50,995,1,1,1,100000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3640",1002,90,1,0,1,2,1,2,2,0,2,1,1,3,2,5,2,2,99000,1,21,1,30500,0,1,89,999,6,1,1,129500,44,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3641",506,57,1,0,2,2,2,1,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,0,2,142,129,1,1,1,80000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"3642",903,73,4,2,2,1,2,2,2,0,1,1,1,4,2,5,2,2,0,1,17,2,0,65000,1,706,999,6,1,2,65000,207,1,2,3,6,4000,5,1,0,1,0,0,4,"0"
"3643",1102,70,1,0,2,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,18,2,0,0,1,84,999,6,6,1,0,25,2,2,3,9,9000,28,0,0,2,0,1,1,"0"
"3645",803,43,5,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,24,1,0,96000,1,615,999,1,2,2,96000,210,1,2,4,6,4015,4,1,0,1,0,0,4,"0"
"3646",803,81,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,200000,2,235,94,1,1,1,200000,25,1,2,1,9,9000,29,0,0,2,1,1,1,"0"
"3647",1301,77,1,2,2,1,1,2,2,5000,2,1,1,2,3,5,3,3,0,1,21,1,14000,0,1,11,999,1,1,1,29000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"3649",706,52,1,2,2,1,1,2,1,0,2,1,1,2,2,5,2,2,0,1,23,1,30000,0,1,22,999,6,1,1,30000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3650",201,131,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,69000,2,142,22,1,1,1,79800,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3651",1103,66,1,0,1,2,1,2,2,3000,2,1,1,4,3,5,3,3,2000,1,21,2,0,0,1,50,999,1,1,1,145000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"3652",506,63,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,1,0,80000,1,22,999,1,1,1,80000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3653",607,116,1,0,1,2,1,2,2,3600,2,1,1,4,2,5,2,2,48300,1,22,1,0,0,1,51,999,6,1,1,51900,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3654",403,50,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,48000,2,50,931,1,6,1,48000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"3655",904,92,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,10000,2,22,50,1,6,1,13000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3656",607,47,4,0,2,2,1,2,2,0,1,3,1,4,3,5,3,3,0,1,22,2,4800,14000,1,171,999,1,4,2,18800,164,2,1,1,1,1000,1,0,0,1,0,1,5,"0"
"3657",402,52,1,2,2,1,1,2,2,0,2,3,1,4,2,5,2,2,6400,1,18,2,0,0,2,142,50,6,4,1,6400,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"3658",1101,29,1,0,2,2,1,1,1,0,2,5,1,2,3,5,3,3,0,1,15,1,800,0,4,999,999,6,6,1,800,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"3659",903,78,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,3,21,2,0,1900,4,999,999,1,6,1,1900,25,2,1,4,9,9000,29,0,0,2,1,1,1,"0"
"3662",504,142,1,0,1,2,2,2,2,0,1,2,1,4,3,5,3,3,0,2,19,2,0,57000,4,999,999,1,3,1,57000,25,1,2,4,9,9000,29,0,0,2,1,1,1,"0"
"3663",201,51,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,44800,1,89,999,1,1,1,44800,55,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3665",602,23,1,2,2,1,2,1,2,0,1,5,1,3,2,5,2,2,0,2,16,2,0,14000,1,529,999,1,6,1,14000,25,1,1,4,2,3000,2,0,1,1,0,0,1,"0"
"3666",802,159,1,0,2,2,1,1,2,0,2,5,1,3,2,5,2,2,90000,1,16,1,26000,0,1,939,999,6,6,1,116000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"1"
"3667",906,58,1,0,1,2,1,2,2,0,2,2,1,4,2,5,2,2,62000,1,21,2,14400,0,3,996,999,6,3,1,76400,42,1,1,1,1,1000,1,0,0,1,0,1,1,"1"
"3668",906,16,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,3,16,2,0,4000,2,51,50,1,6,1,4000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3669",903,28,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,6000,1,24,2,0,0,3,996,999,6,6,1,6000,11,1,2,1,2,3000,2,0,1,1,0,0,1,"0"
"3670",703,176,1,0,1,2,2,2,2,0,2,5,3,4,2,5,2,2,0,1,21,2,0,78000,2,50,22,1,6,1,78000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3671",401,17,1,0,2,2,1,2,2,0,2,1,1,2,2,5,2,2,0,1,18,1,25100,0,1,50,999,6,1,1,25100,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"3672",601,30,4,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,2,0,115000,1,148,999,1,1,2,115000,163,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"3673",804,93,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,19,1,0,23100,2,902,917,1,6,1,23100,25,2,1,3,2,3000,2,0,1,1,0,0,1,"0"
"3674",502,68,5,0,1,2,2,2,2,0,1,3,1,4,3,5,3,3,0,1,22,2,0,100000,1,534,999,1,4,2,100000,427,1,2,1,2,3000,2,0,1,1,0,0,6,"0"
"3675",705,53,1,0,2,2,2,1,2,0,2,4,1,4,3,5,3,3,0,1,17,1,0,11600,1,935,995,1,5,1,11600,25,2,1,4,9,9000,29,0,0,2,1,1,1,"0"
"3676",902,62,1,2,2,1,1,2,2,0,2,5,1,4,2,5,2,2,6800,1,20,2,24200,0,1,50,999,6,6,1,31000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"1"
"3677",608,53,1,0,1,2,2,2,2,0,2,2,1,4,3,5,3,3,0,1,24,2,0,150000,3,996,999,1,3,1,150000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"3678",704,56,1,0,1,2,2,2,2,0,2,1,1,4,3,1,1,3,0,1,16,2,0,11900,2,50,51,1,1,1,11900,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3679",613,62,4,0,1,2,2,2,2,2000,1,1,1,4,3,5,3,3,0,1,21,2,0,100000,1,998,999,1,2,2,102000,164,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"3680",1001,20,1,0,2,2,2,1,2,11000,2,5,3,4,3,5,3,3,0,1,12,2,0,0,1,22,999,6,6,1,11000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"3681",801,167,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,3,22,1,0,35300,2,142,144,1,6,1,35300,36,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"3682",1004,48,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,1500,2,84,22,1,6,1,1500,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"3683",613,52,1,0,2,2,1,2,2,20000,2,1,1,4,2,5,2,2,0,1,21,2,11300,0,2,142,32,6,1,1,32050,42,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
