"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"922",610,57,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,83000,2,226,998,1,6,1,83000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"923",201,13,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,0,1,32,999,1,1,1,38200,36,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"924",905,52,1,0,1,2,2,2,2,5000,2,1,1,4,3,5,2,3,0,1,21,1,0,105000,1,89,999,1,1,1,110000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"926",601,53,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,24000,1,16,1,0,58000,1,51,999,1,1,1,82000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"927",402,67,1,1,2,1,2,2,2,0,1,3,1,4,3,5,3,3,0,1,20,2,0,45000,1,261,999,1,4,1,45000,34,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"928",607,31,1,0,1,2,2,2,2,55000,2,1,1,4,3,5,3,3,0,1,21,2,0,84000,2,50,142,1,1,1,139000,34,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"929",702,55,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,48000,2,109,32,1,1,1,51000,42,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"931",906,100,1,2,2,1,1,2,2,50,2,1,1,4,2,5,2,2,7100,1,21,1,16000,0,1,153,999,6,1,1,78150,42,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"932",609,110,1,0,1,2,2,2,2,10,2,5,1,4,3,5,3,3,0,1,21,1,0,62000,2,795,720,1,6,1,62010,25,1,2,3,6,4008,6,1,0,1,0,0,1,"0"
"933",201,23,4,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,1,0,55000,4,999,999,1,1,2,55000,332,1,2,3,2,3000,2,0,1,1,0,0,3,"0"
"934",610,45,5,0,2,2,2,2,2,0,2,3,1,4,3,5,3,3,0,3,19,1,0,70000,4,999,999,1,4,2,64100,440,2,2,2,2,3000,2,0,1,1,0,0,6,"0"
"935",706,55,1,2,1,1,2,2,2,60000,2,1,1,4,2,5,2,2,0,1,21,2,0,0,1,50,999,6,1,1,60000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"936",904,162,1,0,1,2,2,2,2,10000,2,1,1,4,3,1,1,1,0,1,20,1,0,75000,1,50,999,1,1,1,85000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"937",1004,48,1,2,1,1,1,2,2,0,2,2,3,4,2,1,2,1,3600,1,21,2,30800,45300,1,148,999,3,3,1,81900,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"938",403,60,4,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,2,16,1,0,0,1,148,999,6,6,2,0,163,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"939",901,55,1,2,1,1,1,2,2,26000,2,1,1,2,2,5,2,2,3500,1,21,1,38400,0,1,22,999,6,1,1,67900,48,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"940",100,7,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,2,14,1,0,7000,4,999,999,1,6,1,7000,51,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"941",1201,71,1,0,1,2,2,2,2,-2100,2,3,1,4,3,5,3,3,0,1,21,2,0,60000,2,22,26,1,4,1,57900,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"942",1102,59,1,0,1,2,1,2,2,0,2,2,1,4,3,5,3,3,25000,1,20,1,0,102000,2,935,22,1,3,1,127000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"943",606,78,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,193000,1,50,999,1,1,1,193000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"944",905,46,1,0,1,2,1,2,1,0,2,1,1,2,3,5,2,2,3200,1,16,1,10800,0,1,22,999,6,1,1,14000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"945",1104,140,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,2,21,2,0,45000,1,50,999,1,6,1,45000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"946",609,64,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,18,2,0,31000,1,902,999,1,6,1,31000,25,1,2,3,2,3000,2,0,1,1,0,0,1,"0"
"947",1004,46,5,0,2,2,2,2,2,0,1,4,3,4,3,5,3,3,0,1,16,2,0,18400,1,534,999,1,5,2,18400,427,2,2,4,2,3000,2,0,1,1,0,0,6,"0"
"948",201,20,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,0,1,16,2,0,9400,3,996,999,6,1,1,9400,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"949",503,46,4,0,2,2,1,1,2,0,1,1,1,4,2,5,2,2,0,1,21,2,0,0,1,615,999,6,1,2,5800,210,1,1,3,6,4015,4,1,0,1,0,0,4,"0"
"950",905,49,1,2,2,1,2,2,2,0,1,5,1,4,3,5,3,3,0,1,16,2,0,700,2,226,223,6,6,1,700,25,1,2,3,8,8000,15,0,0,1,1,0,1,"0"
"951",901,98,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,3,14,2,0,2000,3,996,999,1,6,1,2000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
