"SPORDER","PUMA","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","JWTRNS","LANX","MAR","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","WAOB","Class"
2,606,53,5,1,2,0,1,2,2,2,2,0,4,1,1,2,1,2,2006,1,4,3,5,3,3,0,1,22,1,0,140000,40,52,1,4,999,999,1,3390,1,2,0,2600,140000,140000,210,501,800,25,1,2,2,6,4015,4,1,0,1,0,0,0,4,"No"
2,803,84,1,1,NA,0,1,2,2,2,2,0,11,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,2,0,70000,40,52,1,1,142,999,1,6871,6,1,0,120,70000,70000,50,451,800,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,505,65,1,1,NA,2,2,1,2,2,2,0,NA,1,5,NA,NA,NA,NA,3,4,3,5,3,3,0,3,19,1,0,4000,30,14,NA,4,999,999,6,8590,6,1,NA,4435,4000,4000,25,NA,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,NA,1,"No"
3,701,49,4,1,NA,0,1,2,2,2,2,0,NA,1,5,NA,NA,NA,NA,1,NA,3,5,3,3,0,3,12,1,0,3000,15,35,NA,4,999,999,3,8590,6,2,0,4655,3000,3000,130,427,NA,NA,1,2,1,1,1000,1,0,0,1,0,1,1,5,"No"
1,607,76,1,4,2,0,1,2,2,2,2,0,NA,2,1,2,1,2,1980,1,4,2,5,2,2,68000,1,16,2,0,0,NA,NA,2,2,51,50,6,9480,1,1,0,5740,0,68000,25,461,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,1104,82,4,7,2,0,1,2,2,2,2,0,1,1,3,2,1,2,1998,1,4,3,5,3,3,0,1,24,1,0,182000,40,52,1,4,999,999,1,7270,4,2,0,2100,182000,182000,138,501,1100,25,1,2,3,1,1000,1,0,0,1,0,1,0,5,"No"
2,501,113,1,NA,2,0,2,2,1,2,2,0,NA,2,1,2,1,2,1976,1,4,2,5,2,2,3000,1,20,2,0,0,NA,NA,2,2,142,32,6,NA,1,1,0,NA,0,3000,9,183,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,901,47,5,1,2,0,1,2,2,2,2,0,1,1,1,2,1,2,2013,1,4,3,5,3,3,0,1,24,2,0,250000,40,52,1,1,706,999,1,2190,1,2,0,1240,250000,250000,207,501,600,25,1,2,4,6,4000,5,1,0,1,0,0,0,4,"No"
3,613,100,4,NA,2,0,2,2,1,1,2,0,NA,1,2,2,1,2,1963,1,4,2,5,2,2,0,1,21,1,0,0,NA,NA,2,1,148,999,6,NA,3,2,0,NA,0,7000,163,501,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,5,"Yes"
2,403,34,1,4,2,0,1,2,1,2,2,0,NA,2,1,2,2,2,2005,1,4,1,1,2,3,6100,1,16,2,0,47000,40,48,2,2,88,190,2,7870,1,1,0,5740,47000,53100,36,472,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,703,94,1,1,2,0,1,2,2,2,2,0,10,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,1,0,150000,70,52,1,2,50,51,1,6290,6,1,0,6355,150000,150000,25,501,700,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
3,602,65,1,1,NA,0,1,2,2,1,2,0,NA,1,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,13,2,0,5000,5,40,NA,4,999,999,2,5171,6,1,0,4760,5000,5000,25,229,NA,NA,1,1,2,6,4007,10,1,0,1,0,0,1,1,"No"
1,503,51,4,1,2,2,1,1,2,2,2,0,1,1,4,2,1,2,1990,1,4,3,5,3,3,0,1,24,1,0,300000,60,52,1,1,148,999,1,3380,5,2,0,300,300000,300000,163,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,5,"No"
2,504,120,5,NA,2,0,1,2,1,1,2,0,NA,2,1,2,1,2,1977,1,4,2,5,2,2,15400,1,16,1,0,0,NA,NA,2,1,50,999,6,NA,1,2,0,NA,0,15400,119,501,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,5,"No"
2,507,21,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,3,16,1,0,500,20,8,1,4,999,999,1,4973,6,1,0,4720,500,500,25,338,500,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,507,63,1,1,2,0,1,2,2,2,2,0,NA,2,1,2,1,2,2009,1,4,3,1,1,1,0,1,21,2,0,300000,50,32,2,2,142,50,3,7380,1,1,0,52,300000,300000,34,501,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
6,602,32,5,1,2,0,1,2,2,2,2,0,7,1,1,2,1,2,2006,1,4,3,5,3,3,0,1,19,2,0,30000,40,52,NA,4,999,999,1,770,2,2,0,5400,30000,30000,206,192,600,25,1,2,4,6,4007,10,1,0,1,0,0,0,4,"No"
2,806,154,5,1,2,0,1,2,2,2,2,0,NA,1,1,2,1,2,2014,3,4,2,1,2,1,0,1,21,2,0,110000,40,40,2,1,210,999,3,7380,1,2,0,3820,110000,110000,303,501,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,0,3,"No"
2,802,52,1,2,NA,2,2,1,2,2,2,0,3,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,1,0,40000,40,52,1,2,46,50,1,9170,6,1,0,800,40000,40000,9,260,800,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,100,63,1,3,NA,0,1,2,2,2,2,0,1,2,1,2,1,2,2022,1,4,3,5,3,3,0,1,16,1,0,30000,40,52,1,1,925,999,1,670,1,1,0,9620,30000,30000,25,147,400,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,904,18,1,1,2,0,2,2,1,2,2,0,NA,2,1,2,2,2,1968,3,4,3,5,3,3,0,1,16,2,13800,0,NA,NA,NA,4,999,999,6,9070,2,1,NA,4740,0,13800,25,NA,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,NA,1,"Yes"
2,1103,201,1,1,2,0,1,2,2,2,2,0,1,2,1,2,2,2,2005,1,4,3,5,3,3,0,1,16,2,0,56000,38,52,1,1,935,999,1,3690,1,1,0,5240,56000,56000,25,501,1100,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
