"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
1,501,0.117684043693436,4,0,2,2,2,2,2,-0.134550377530303,1,1,1,2,3,3,1,1,-0.27456392637561,1,17,1,-0.451796206396106,-0.237494227939082,1,360,999,1,1,2,-0.399956578854329,362,2,2,4,9,9000,29,0,0,2,1,1,3,0
1,905,-0.555375162489686,1,2,2,1,1,2,2,1.20677423630725,2,1,1,4,2,5,2,2,0.542811263673091,1,21,1,-0.451796206396106,-0.606111435888042,2,50,935,6,1,1,-0.172610946218494,25,1,1,3,1,1000,1,0,0,1,0,1,1,0
1,100,0.13088128303036,1,0,2,2,1,1,2,-0.134550377530303,2,5,1,4,2,1,2,1,-0.27456392637561,1,17,1,-0.124380361071362,-0.59996781575556,1,51,999,3,6,1,-0.604903626994023,25,2,1,1,1,1000,1,0,0,1,0,1,1,1
2,507,-0.50258620514199,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,23,2,-0.451796206396106,0.278569863189462,2,142,148,1,1,1,0.0704136955646409,9,1,2,1,1,1000,1,0,0,1,0,1,1,0
3,704,-0.515783444478914,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,2,5,2,2,-0.27456392637561,2,12,2,-0.451796206396106,-0.606111435888042,1,51,999,1,6,1,-0.73593534629645,25,1,2,2,1,1000,1,0,0,1,0,1,1,0
3,1004,0.645573617170395,1,0,2,2,2,1,2,-0.134550377530303,2,5,1,4,2,5,2,2,-0.27456392637561,3,11,2,-0.451796206396106,-0.606111435888042,2,261,22,1,6,1,-0.73593534629645,33,2,1,4,9,9000,29,0,0,2,1,1,1,1
1,905,1.55618313141815,1,0,2,2,2,1,2,-0.134550377530303,2,5,1,4,2,5,2,2,-0.27456392637561,1,20,2,-0.451796206396106,-0.606111435888042,1,902,999,6,6,1,-0.721376266373958,25,2,1,2,2,3000,2,0,1,1,0,0,1,0
1,802,0.949110121919646,2,0,2,2,1,1,2,-0.134550377530303,1,5,1,4,2,5,2,2,-0.27456392637561,1,3,1,-0.451796206396106,-0.606111435888042,1,261,999,6,6,1,-0.597960065800219,72,2,1,1,9,9000,62,0,1,3,1,1,2,0
2,905,3.08706289450133,1,2,2,1,1,2,2,0.0433441335887363,2,1,1,4,2,5,2,2,1.47695433801446,1,21,2,2.72413749325391,-0.606111435888042,1,50,999,6,1,1,-0.0516585899393298,25,1,1,1,1,1000,1,0,0,1,0,1,1,0
1,1103,-0.50258620514199,3,2,2,1,1,2,2,-0.134550377530303,1,5,1,4,3,5,3,3,0.0887139358682569,1,16,1,1.13071371267349,-0.176058026614256,1,510,999,1,6,1,-0.118854343427754,408,1,1,4,8,8000,15,0,0,1,1,0,6,0
1,401,0.104486804356512,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,19,2,-0.451796206396106,0.00825057736022427,2,51,88,1,1,1,-0.175970733892915,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
2,503,-0.291430375751207,5,0,1,2,2,2,2,-0.134550377530303,1,1,3,4,3,5,3,3,-0.27456392637561,3,21,2,-0.451796206396106,0.192559181334704,1,152,999,1,1,2,-0.00798135017185407,154,1,2,4,1,1000,1,0,0,1,0,1,5,0
2,606,-0.528980683815838,5,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,22,1,-0.451796206396106,1.1141022012071,4,999,999,1,1,2,0.831965568433449,210,1,2,2,6,4015,4,1,0,1,0,0,4,0
2,803,-0.119866264371195,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,21,2,-0.451796206396106,0.253995382659531,1,142,999,1,6,1,0.0480151110684995,50,1,2,2,1,1000,1,0,0,1,0,1,1,0
1,505,-0.370613811772751,1,2,2,1,2,2,2,-0.134550377530303,1,5,3,4,3,5,3,3,-0.27456392637561,3,19,1,-0.451796206396106,-0.556962474828181,4,999,999,6,6,1,-0.691138177304167,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
